# Forma d'onda Burst Phase Agilent 33220A = -95.000 deg
"# Medie: 2048, Campioni: 8000, CH1: Vout, CH3: Vin"
tempo_s,tensione_CH1_Vout_V,tensione_CH3_Vin_V
-1.171875000e-04,-1.435176e-02,-8.976883e-02
-1.165625000e-04,-1.378894e-02,4.313567e-02
-1.159375000e-04,1.772864e-02,7.461306e-02
-1.153125000e-04,5.065326e-03,-6.178894e-02
-1.146875000e-04,-1.688442e-02,-7.461306e-02
-1.140625000e-04,-9.286431e-03,6.412060e-02
-1.134375000e-04,1.941708e-02,5.712562e-02
-1.128125000e-04,5.628140e-04,-8.160803e-02
-1.121875000e-04,-1.885427e-02,-5.362813e-02
-1.115625000e-04,-3.658291e-03,8.044220e-02
-1.109375000e-04,1.885427e-02,3.380904e-02
-1.103125000e-04,-3.376884e-03,-9.326632e-02
-1.096875000e-04,-1.913568e-02,-2.914572e-02
-1.090625000e-04,2.532663e-03,8.976883e-02
-1.084375000e-04,1.716583e-02,8.160803e-03
-1.078125000e-04,-7.597989e-03,-9.909546e-02
-1.071875000e-04,-1.857286e-02,-2.331658e-03
-1.065625000e-04,9.286431e-03,9.093466e-02
-1.059375000e-04,1.350754e-02,-1.865326e-02
-1.053125000e-04,-1.125628e-02,-9.676381e-02
-1.046875000e-04,-1.604020e-02,2.331658e-02
-1.040625000e-04,1.463316e-02,8.627135e-02
-1.034375000e-04,8.723617e-03,-4.430150e-02
-1.028125000e-04,-1.491457e-02,-8.860300e-02
-1.021875000e-04,-1.294472e-02,4.779899e-02
-1.015625000e-04,1.772864e-02,7.344723e-02
-1.009375000e-04,3.939698e-03,-6.645225e-02
-1.003125000e-04,-1.744723e-02,-7.228140e-02
-9.968750000e-05,-8.160803e-03,6.878391e-02
-9.906250000e-05,1.969849e-02,5.479396e-02
-9.843750000e-05,0.000000e+00,-8.393969e-02
-9.781250000e-05,-1.913568e-02,-5.129648e-02
-9.718750000e-05,-2.532663e-03,8.277386e-02
-9.656250000e-05,1.885427e-02,3.031155e-02
-9.593750000e-05,-4.502512e-03,-9.559798e-02
-9.531250000e-05,-1.885427e-02,-2.564824e-02
-9.468750000e-05,4.221105e-03,9.093466e-02
-9.406250000e-05,1.632161e-02,4.663316e-03
-9.343750000e-05,-8.442210e-03,-9.909546e-02
-9.281250000e-05,-1.801005e-02,0.000000e+00
-9.218750000e-05,1.041206e-02,9.093466e-02
-9.156250000e-05,1.266332e-02,-2.098492e-02
-9.093750000e-05,-1.210050e-02,-9.559798e-02
-9.031250000e-05,-1.575879e-02,2.681407e-02
-8.968750000e-05,1.547738e-02,8.393969e-02
-8.906250000e-05,8.723617e-03,-4.663316e-02
-8.843750000e-05,-1.547738e-02,-8.510552e-02
-8.781250000e-05,-1.266332e-02,5.013065e-02
-8.718750000e-05,1.829146e-02,6.994974e-02
-8.656250000e-05,3.939698e-03,-6.878391e-02
-8.593750000e-05,-1.772864e-02,-6.878391e-02
-8.531250000e-05,-7.597989e-03,6.994974e-02
-8.468750000e-05,1.941708e-02,5.013065e-02
-8.406250000e-05,-8.442210e-04,-8.627135e-02
-8.343750000e-05,-1.913568e-02,-4.546733e-02
-8.281250000e-05,-1.688442e-03,8.393969e-02
-8.218750000e-05,1.801005e-02,2.564824e-02
-8.156250000e-05,-5.346733e-03,-9.676381e-02
-8.093750000e-05,-1.913568e-02,-2.098492e-02
-8.031250000e-05,4.783919e-03,9.093466e-02
-7.968750000e-05,1.604020e-02,0.000000e+00
-7.906250000e-05,-9.005024e-03,-9.909546e-02
-7.843750000e-05,-1.801005e-02,5.829145e-03
-7.781250000e-05,1.097487e-02,9.093466e-02
-7.718750000e-05,1.210050e-02,-2.681407e-02
-7.656250000e-05,-1.238191e-02,-9.559798e-02
-7.593750000e-05,-1.519598e-02,3.147738e-02
-7.531250000e-05,1.575879e-02,8.277386e-02
-7.468750000e-05,7.316582e-03,-5.129648e-02
-7.406250000e-05,-1.604020e-02,-8.393969e-02
-7.343750000e-05,-1.153769e-02,5.479396e-02
-7.281250000e-05,1.857286e-02,6.761808e-02
-7.218750000e-05,2.814070e-03,-7.228140e-02
-7.156250000e-05,-1.829146e-02,-6.645225e-02
-7.093750000e-05,-6.472361e-03,7.344723e-02
-7.031250000e-05,1.941708e-02,4.779899e-02
-6.968750000e-05,-1.407035e-03,-8.860300e-02
-6.906250000e-05,-1.913568e-02,-4.313567e-02
-6.843750000e-05,-2.814070e-04,8.627135e-02
-6.781250000e-05,1.829146e-02,2.331658e-02
-6.718750000e-05,-5.628140e-03,-9.792964e-02
-6.656250000e-05,-1.913568e-02,-1.748743e-02
-6.593750000e-05,5.909547e-03,9.210049e-02
-6.531250000e-05,1.547738e-02,-2.331658e-03
-6.468750000e-05,-9.567838e-03,-9.909546e-02
-6.406250000e-05,-1.772864e-02,8.160803e-03
-6.343750000e-05,1.238191e-02,8.976883e-02
-6.281250000e-05,1.153769e-02,-2.914572e-02
-6.218750000e-05,-1.350754e-02,-9.326632e-02
-6.156250000e-05,-1.463316e-02,3.497487e-02
-6.093750000e-05,1.660301e-02,8.044220e-02
-6.031250000e-05,7.035175e-03,-5.479396e-02
